A  AX
PROVOCATIVELY  P R AX V AA K IX T IH V L IY
PROVOKED  P R AX V OW K T
PROWLER  P R AW L AXR
PSYCHIATRIST  S AY K AY AX T R IH S T
PSYCHICAL  S AY K IX K EL
PSYCHOLOGICAL  S AY K AX L AA JH IH K EL
PSYCHOLOGICALLY  S AY K AX L AA JH IH K AX L IY
PSYCHOPATH  S AY K OW P AE TH
PUBLIC  P AH B L IH K
PUBLICITY  P AH B L IH S IX T IY
PUBLISHED  P AH B L IH SH T
PULL  P UH L
PULLED  P UH L D
PULLING  P UH L IX NG
PULSING  P AH L S IX NG
PUMMELED  P AH M EL D
PUMPED  P AH M P T
PUMPS  P AH M P S
PUNCH  P AH N CH
PUNCTURING  P AH NG K CH AXR IX NG
PUNGENT  P AH N JH IX N T
PUNISH  P AH N IH SH
PUNISHES  P AH N IH SH IX Z
PUNISHMENT  P AH N IH SH M AX N T
PUNY  P Y UW N IY
PUPPETS  P AH P AX T S
PURCHASE  P ER CH IX S
PURCHASED  P ER CH IX S T
PURCHASERS  P ER CH IX S AXR Z
PURE  P Y UH R
PUREE  P Y UH R EY
PURISTS  P Y UH R IX S T S
PURPLE  P ER P EL
PURPOSE  P ER P AX S
PURPOSELESS  P ER P AX S L AX S
PURPOSELY  P ER P AX S L IY
PURSED  P ER S T
PURSUED  P AXR S UW D
PURSUING  P AXR S UW IX NG
PUSH  P UH SH
PUSH-UPS  P UH SH AH P S
PUT  P UH T
PUZZLEMENT  P AH Z EL M AX N T
PUZZLING  P AH Z EL IX NG
QUACKERY  K W AE K AXR IY
QUALITY  K W AA L IX T IY
QUARREL  K W AO R EL
QUARRELS  K W AO R EL Z
QUARTER  K W AO R T AXR
QUARTER-CENTURY-OLD  K W AO R T AXR S EH N CH AXR IY OW L D
QUARTER-INCH  K W AO R T AXR IH N CH
QUARTERS  K W AO R T AXR Z
QUEEN  K W IY N
QUERULOUS  K W EH R EL AX S
QUESTION  K W EH S CH IX N
QUESTIONS  K W EH S CH IX N Z
QUICK  K W IH K
QUICKLY  K W IH K L IY
QUIETED  K W AY IX T IX D
QUIETLY  K W AY IX T L IY
QUINCE  K W IH N S
QUITE  K W AY T
QUOTE  K W OW T
RABBIT  R AE B IX T
RABBITS  R AE B IX T S
RABIES  R EY B IY Z
RACCOONS  R AE K UW N Z
RACE  R EY S
RACHEL'S  R EY CH EL Z
RACING  R EY S IX NG
RACK  R AE K
RACY  R EY S IY
RADAR  R EY D AA R
RADIATED  R EY D IY EY T IX D
RADIATION  R EY D IY EY SH IX N
RADICALISM  R AE D IH K EL IH Z EM
RADIO  R EY D IY OW
RADIOACTIVE  R EY D IY OW AE K T IX V
RADIOACTIVITY  R EY D IY OW AE K T IH V AX T IY
RADIOSTERILIZATION  R EY D IY OW S T EH R EL AY Z EY SH IX N
RAG  R AE G
RAGS  R AE G Z
RAIL  R EY L
RAILROAD  R EY L R OW D
RAIN  R EY N
RAINDROPS  R EY N D R AA P S
RAINS  R EY N Z
RAISERS  R EY Z AXR Z
RAISINS  R EY Z EN Z
RAKED  R EY K T
RALPH  R AE L F
RAMIFICATIONS  R AE M AX F AX K EY SH IX N Z
RAN  R AE N
RANCH  R AE N CH
RANDOM  R AE N D AX M
RANG  R AE NG
RANGE  R EY N JH
RAPE  R EY P
RAPID  R AE P IX D
RAPIDLY  R AE P AX D L IY
RARE  R AE R
RARELY  R AE R L IY
RASPED  R AE S P T
RATE  R EY T
RATED  R EY T IX D
RATES  R EY T S
RATHER  R AE DH AXR
RATING  R EY T IX NG
RATIONALIZE  R AE SH IX N EL AY Z
RATIONING  R AE SH IX N IX NG
RATTLED  R AE T EL D
RATTLESNAKE  R AE T EL S N EY K
RAW  R AO
RAY  R EY
REACH  R IY CH
REACHED  R IY CH T
REACTION  R IY AE K SH IX N
READER  R IY D AXR
READINESS  R EH D IH N IX S
READING  R IY D IX NG
READS  R IY D Z
READY  R EH D IY
READ~V_PAST  R EH D
READ~V_PRES  R IY D
REAL  R IY L
REALISM  R IY L IH Z EM
REALISTIC  R IY L IH S T IH K
REALITY  R IY AE L IX T IY
REALIZATION  R IY L AX Z EY SH IX N
REALIZE  R IY L AY Z
REALIZING  R IY L AY Z IX NG
REALLY  R IY L IY
REARRANGE  R IY AX R EY N JH
REASON  R IY Z EN
REASONABLE  R IY Z EN AX B EL
REASONABLY  R IY Z EN AX B L IY
REASONS  R IY Z EN Z
REASSURANCE  R IY AX SH UH R IX N S
REASSURE  R IY AX SH UH R
REASSURING  R IY AX SH UH R IX NG
RECALL  R IH K AO L
RECALLED  R IH K AO L D
RECEIVED  R IH S IY V D
RECEIVING  R IH S IY V IX NG
RECENT  R IY S EN T
RECENTLY  R IY S EN T L IY
RECEPTACLE  R IH S EH P T IH K EL
RECEPTION  R IH S EH P SH IX N
RECOGNITION  R EH K AX G N IH SH IX N
RECOGNIZE  R EH K AX G N AY Z
RECOGNIZED  R EH K AX G N AY Z D
RECOILED  R IH K OY L D
RECOMMENDATION  R EH K AX M EH N D EY SH IX N
RECOMMENDED  R EH K AX M EH N D IX D
RECONNAISSANCE  R IH K AA N IX Z IX N S
RECONSIDER  R IY K IX N S IH D AXR
RECONSIDERED  R IY K IX N S IH D AXR D
RECORD  R EH K AXR D
RECORDS  R EH K AXR D Z
RECREATION  R EH K R IY EY SH IX N
RECRIMINATIONS  R AX K R IH M IH N EY SH IX N Z
RECTOR  R EH K T AXR
RECUPERATING  R IH K UW P AXR EY T IX NG
RED  R EH D
RED-HANDED  R EH D HH AE N D IX D
REDCOATS  R EH D K OW T S
REDECORATING  R IY D EH K ER EY T IH NG
REDEPOSITION  R IY D EH P AX Z IH SH IX N
REDHEADS  R EH D HH EH D Z
REDOUBLED  R AX D AH B EL D
REDUCED  R IH D UW S T
REDUCING  R IH D UW S IX NG
REDUCTION  R IH D AH K SH IX N
REDWOODS  R EH D W UH D Z
REFERENCE  R EH F AXR N S
REFERRED  R IH F ER D
REFLECT  R IH F L EH K T
REFLECTS  R IH F L EH K T S
REFLEXES  R IY F L EH K S IX Z
REFORM  R IH F AO R M
REFRIGERATOR  R IH F R IH JH AXR EY T AXR
REFUND  R IY F AH N D
REFURBISHING  R IH F ER B IH SH IX NG
REFUSAL  R IH F Y UW Z EL
REFUSE  R IH F Y UW Z
REFUSED  R IH F Y UW Z D
REGARD  R IH G AA R D
REGARDING  R IH G AA R D IX NG
REGENERATING  R IY JH EH N AXR EY T IX NG
REGRET  R IH G R EH T
REGULAR  R EH G Y UH L AXR
REGULARS  R EH G Y UH L AXR Z
REGULATIONS  R EH G Y UH L EY SH IX N Z
REGULATIVE  R EH G Y UH L AX T IH V
REHABILITATION  R IY HH AX B IH L IH T EY SH IX N
REINFORCE  R IY IX N F AO R S
REJECTED  R IH JH EH K T IX D
RELATED  R IH L EY T IX D
RELATIONSHIP  R IH L EY SH IX N SH IH P
RELATIVELY  R EH L IX T IH V L IY
RELAXED  R IH L AE K S T
RELEASE  R IH L IY S
RELEASED  R IH L IY S T
RELIEF  R IH L IY F
RELIEVED  R IH L IY V D
RELIEVING  R IH L IY V IX NG
RELIGION  R IH L IH JH IX N
RELINQUISHING  R IH L IH NG K W IH SH IX NG
RELISH  R EH L IH SH
RELY  R IH L AY
REMAIN  R IH M EY N
REMAINED  R IH M EY N D
REMAINING  R IH M EY N IX NG
REMAINS  R IH M EY N Z
REMEMBER  R IH M EH M B AXR
REMEMBERED  R IH M EH M B AXR D
REMEMBERS  R IH M EH M B AXR Z
REMEMBRANCE  R IH M EH M B R IX N S
REMINDED  R IH M AY N D IX D
REMINDS  R IH M AY N D Z
REMINISCENCE  R EH M AX N IH S IX N S
REMOTE  R IH M OW T
REMOVAL  R IH M UW V EL
REMOVE  R IH M UW V
RENT  R EH N T
RENTED  R EH N T IX D
RENUNCIATION  R IH N AH N S IY EY SH IX N
REORGANIZATION  R IY AO R G IX N AY Z EY SH IX N
REPAINTED  R IX P EY N T IX D
REPAINTING  R IX P EY N T IX NG
REPEAT  R IH P IY T
REPEATED  R IH P IY T IX D
REPETITION  R EH P AX T IH SH IX N
REPLACE  R IH P L EY S
REPLACED  R IH P L EY S T
REPLENISH  R IH P L EH N IH SH
REPLIED  R IH P L AY D
REPLY  R IH P L AY
REPORT  R IH P AO R T
REPORTED  R IH P AO R T IX D
REPORTERS  R IH P AO R T AXR Z
REPORTORIAL  R EH P AXR T AO R IY EL
REPORTS  R IH P AO R T S
REPRESENT  R EH P R IY Z EH N T
REPRESENTATION  R EH P R IY Z EH N T EY SH IX N
REPRESENTED  R EH P R IY Z EH N T IX D
REPRESENTS  R EH P R IY Z EH N T S
REPRODUCE  R IY P R AX D UW S
REPTILES  R EH P T EL Z
REPUGNANT  R IH P AH G N IX N T
REQUESTS  R IH K W EH S T S
REQUIRED  R IH K W AY AXR D
REQUIREMENTS  R IH K W AY AXR M AX N T S
REQUIRES  R IH K W AY AXR Z
RESCUE  R EH S K Y UW
RESEARCH  R IY S ER CH
RESEMBLE  R IX Z EH M B EL
RESERVED  R IH Z ER V D
RESIDENTIAL  R EH Z IX D EH N CH EL
RESIDES  R IH Z AY D Z
RESIDUES  R EH Z IX D UW Z
RESIN  R EH Z IX N
RESIN-SATURATED  R EH Z IX N S AE CH UH R EY T IX D
RESISTANCE  R IH Z IH S T IX N S
RESOLUTE  R EH Z AX L UW T
RESOLUTION  R EH Z AX L UW SH IX N
RESOLVED  R IH Z AA L V D
RESPECT  R IH S P EH K T
RESPECTED  R IH S P EH K T IX D
RESPONSE  R IH S P AA N S
RESPONSIBILITY  R IH S P AA N S IX B IH L IX T IY
RESPONSIBLE  R IH S P AA N S IX B EL
RESPONSIVELY  R IH S P AA N S IH V L IY
REST  R EH S T
RESTRICTED  R IH S T R IH K T IX D
RESULT  R IH Z AH L T
RESULTED  R IH Z AH L T IX D
RESULTS  R IH Z AH L T S
RESUMED  R IH Z UW M D
RETALIATORY  R IH T AE L IX T AO R IY
RETINAL  R EH T IX N EL
RETIRE  R IH T AY AXR
RETIRED  R IH T AY AXR D
RETIREMENT  R IH T AY AXR M AX N T
RETIRES  R IH T AY AXR Z
RETOUCHING  R IH T AH CH IX NG
RETRACTED  R IH T R AE K T IX D
RETRIBUTION  R EH T R AX B Y UW SH IX N
RETURN  R IH T ER N
REUPHOLSTERING  R IH AH P HH OW L S T AXR IX NG
REVEALED  R IH V IY L D
REVEALING  R IH V IY L IX NG
REVENGE  R IH V EH N JH
REVENUES  R EH V AX N UW Z
REVERBERATED  R IH V ER B AXR EY T IX D
REVIEW  R IH V Y UW
REVIEWERS  R IH V Y UW AXR Z
REVISED  R IH V AY Z D
REVOLUTION  R EH V AX L UW SH IX N
REVOLVING  R IH V AA L V IX NG
REVULSION  R IH V AH L SH IX N
REWARDED  R IH W AO R D IX D
REWRITE  R IH R AY T
RHINOCEROS  R AY N AA S AXR AX S
RHUBARB  R UW B AA R B
RHYTHM  R IH DH EM
RHYTHMICALLY  R IH DH M IX K L IY
RIBBONS  R IH B IX N Z
RICE  R AY S
RICH  R IH CH
RICKETY  R IH K IX T IY
RIDE  R AY D
RIDES  R AY D Z
RIDGE  R IH JH
RIDICULOUSLY  R AX D IH K Y UH L AX S L IY
RIDING  R AY D IX NG
RIFLE  R AY F EL
RIFLEMAN  R AY F EL M AX N
RIGHT  R AY T
RIGHTS  R AY T S
RIM  R IH M
RINGING  R IH NG IX NG
RIOT  R AY AX T
RIPE  R AY P
RIPPED  R IH P T
RIPPING  R IH P IX NG
RISE  R AY Z
RISING  R AY Z IX NG
RISKS  R IH S K S
RITES  R AY T S
RITUAL  R IH CH UW EL
RITUALS  R IH CH UW EL Z
RIVER  R IH V AXR
RIVERBANK  R IH V AXR B AE NG K
ROAD  R OW D
ROADWAY  R OW D W EY
ROAM  R OW M
ROAST  R OW S T
ROASTS  R OW S T S
ROB  R AA B
ROBIN  R AA B IX N
ROCK  R AA K
ROCK-AND-ROLL  R AA K AE N D R OW L
ROCKETS  R AA K IX T S
ROCKY  R AA K IY
RODE  R OW D
RODS  R AA D Z
ROGER'S  R AA JH AXR Z
ROLE  R OW L
ROLEPLAYING  R OW L P L EY IX NG
ROLES  R OW L Z
ROLL  R OW L
ROLLED  R OW L D
ROLLS  R OW L Z
ROMANCE  R OW M AE N S
ROMANTIC  R OW M AE N T IH K
RON'S  R AA N Z
ROOF  R UW F
ROOFS  R UW F S
ROOFTREE  R UW F T R IY
ROOM  R UW M
ROOMS  R UW M Z
ROOT  R UW T
ROOTLESS  R UW T L AX S
ROPES  R OW P S
ROSE  R OW Z
ROSES  R OW Z Z
ROSY  R OW Z IY
ROUGH  R AH F
ROUGH-TOUGH  R AH F T AH F
ROULETTE'S  R UW L EH T S
ROUTINE  R UW T IY N
ROUTINELY  R UW T IY N L IY
ROVE  R OW V
ROY  R OY
ROYAL  R OY EL
RUBBED  R AH B D
RUBBERIZED  R AH B AXR AY Z D
RUBBISH  R AH B IH SH
RUFFLES  R AH F EL Z
RUG  R AH G
RUGS  R AH G Z
RUINS  R UW IH N Z
RULE  R UW L
RULED  R UW L D
RULES  R UW L Z
RUMEN  R UW M AX N
RUN  R AH N
RUN-DOWN  R AH N D AW N
RUNNING  R AH N IX NG
RUNS  R AH N Z
RURAL  R UH R EL
RUSHING  R AH SH IX NG
RUST  R AH S T
RUSTLING  R AH S EL IX NG
SACRIFICE  S AE K R IX F AY S
SACRIFICIAL  S AE K R AX F IH SH EL
SADDLEBAGS  S AE D EL B AE G Z
SADDLED  S AE D EL D
SADNESS  S AE D N IX S
SAFARI  S AX F AA R IY
SAFE  S EY F
SAFEKEEPING  S EY F K IY P IX NG
SAFER  S EY F AXR
SAFETY  S EY F T IY
SAGA  S AA G AX
SAGGING  S AE G IX NG
SAID  S EH D
SAILBOAT  S EY L B OW T
SAILED  S EY L D
SAILORS  S EY L AXR Z
SALAD  S AE L AX D
SALADS  S AE L AX D Z
SALARY  S AE L AXR IY
SALE  S EY L
SALESMANSHIP  S EY L Z M AX N SH IH P
SALESMEN  S EY L Z M AX N
SALT  S AO L T
SALTED  S AO L T IX D
SALVATION  S AE L V EY SH IX N
SAME  S EY M
SAMPLE  S AE M P EL
SAMPLES  S AE M P EL Z
SAMPLING  S AE M P EL IX NG
SANDWICH  S AE N D W IH CH
SANK  S AE NG K
SARCASM  S AA R K AE Z EM
SAT  S AE T
SATELLITES  S AE T AX L AY T S
SATIRICAL  S AE T IH R IH K EL
SATISFACTION  S AE T IX S F AE K SH IX N
SATISFY  S AE T IX S F AY
SATURATED  S AE CH UH R EY T IX D
SATURDAY  S AE T AXR D EY
SAUCE  S AO S
SAUERKRAUT  S AW AXR K R AW T
SAVAGELY  S AE V IH JH L IY
SAVE  S EY V
SAVED  S EY V D
SAW  S AO
SAWS  S AO Z
SAY  S EY
SAYING  S EY IX NG
SAYS  S EH Z
SCABBARD  S K AE B AXR D
SCAFFOLD  S K AE F EL D
SCALLOPED  S K AA L AX P T
SCALP  S K AE L P
SCAMPERED  S K AE M P AXR D
SCAR  S K AA R
SCARED  S K AE R D
SCARF  S K AA R F
SCATTERED  S K AE T AXR D
SCENERY  S IY N AXR IY
SCENES  S IY N Z
SCHEDULE  S K EH JH EL
SCHNOOKS  SH N UH K S
SCHOLAR  S K AA L AXR
SCHOLARS  S K AA L AXR Z
SCHOLASTIC  S K AX L AE S T IH K
SCHOOL  S K UW L
SCHOOLS  S K UW L Z
SCHOONER  S K UW N AXR
SCIENTIFIC  S AY IX N T IH F IH K
SCIENTISTS  S AY IX N T IH S T S
SCOOP  S K UW P
SCORE  S K AO R
SCORED  S K AO R D
SCOUR  S K AW R
SCOURING  S K AW R IX NG
SCOUT'S  S K AW T S
SCOWLED  S K AW EL D
SCRAPING  S K R EY P IX NG
SCRATCH  S K R AE CH
SCREAM  S K R IY M
SCREECHED  S K R IY CH T
SCREEN  S K R IY N
SCREW  S K R UW
SCREWDRIVER  S K R UW D R AY V AXR
SCULPTOR  S K AH L P T AXR
SCULPTURE  S K AH L P CH AXR
SE  S EY
SEA  S IY
SEAM  S IY M
SEAMSTRESSES  S IY M S T R EH S IX Z
SEAR  S IH R
SEARCH  S ER CH
SEASON  S IY Z EN
SEASONING  S IY Z EN IX NG
SEATS  S IY T S
SEATTLE  S IY AE T EL
SECOND  S EH K IX N D
SECONDARY  S EH K IX N D EH R IY
SECRET  S IY K R IX T
SECTION  S EH K SH IX N
SECTOR  S EH K T AXR
SECULARIST  S EH K Y UH L AXR IH S T
SECURED  S IH K Y UH R D
SECURITY  S IX K Y UH R IX T IY
SEE  S IY
SEED  S IY D
SEEDS  S IY D Z
SEEING  S IY IX NG
SEEKER  S IY K AXR
SEEKERS  S IY K AXR Z
SEEKING  S IY K IX NG
SEEM  S IY M
SEEMED  S IY M D
SEEMS  S IY M Z
SEEN  S IY N
SEISMIC  S AY Z M IH K
SELDOM  S EH L D AX M
SELECTED  S AX L EH K T IX D
SELECTING  S AX L EH K T IX NG
SELECTION  S AX L EH K SH IX N
SELECTIONS  S AX L EH K SH IX N Z
SELECTIVE  S AX L EH K T IH V
SELF  S EH L F
SELF'S  S EH L F S
SELF-CONFIDENT  S EH L F K AA N F IH D IX N T
SELF-CONTAINED  S EH L F K AX N T EY N D
SELF-DECEIVING  S EH L F D IH S IY V IX NG
SELF-SUFFICIENCY  S EH L F S AX F IH SH IX N S IY
SELLER  S EH L AXR
SEMI-  S EH M IH
SEMI-HEIGHTS  S EH M IH HH AY T S
SEMIDRYING  S EH M IH D R AY IX NG
SENATE  S EH N IX T
SEND  S EH N D
SENDING  S EH N D IX NG
SENIOR  S IY N Y AXR
SENSE  S EH N S
SENSIBLY  S EH N S IH B L IY
SENSITIVE  S EH N S IX T IH V
SENSORY  S EH N S AXR IY
SENSUAL  S EH N SH UW EL
SENTIMENT  S EH N T AX M AX N T
SEPARATE~ADJ  S EH P R AX T
SEPARATE~V  S EH P AXR EY T
SEQUOIA  S IH K W OY AX
SERIES  S IH R IY Z
SERMON  S ER M AX N
SERPENT'S  S ER P AX N T S
SERVE  S ER V
SERVED  S ER V D
SERVES  S ER V Z
SERVICE  S ER V AX S
SERVICES  S ER V AX S IX Z
SESAME  S EH S AX M IY
SET  S EH T
SETS  S EH T S
SETTING  S EH T IX NG
SETTLE  S EH T EL
SEVEN  S EH V AX N
SEVENTH  S EH V AX N TH
SEVENTY  S EH V AX N T IY
SEVERAL  S EH V AXR EL
SEVERE  S AX V IH R
SEW  S OW
SEWERS  S UW AXR Z
SEWING  S OW IX NG
SEX  S EH K S
SEXUAL  S EH K SH UW EL
SEXUALLY  S EH K SH UH L IY
SHABBY  SH AE B IY
SHACKLES  SH AE K EL Z
SHADE  SH EY D
SHADOW  SH AE D OW
SHADY  SH EY D IY
SHAFT  SH AE F T
SHAG  SH AE G
SHAKEN  SH EY K IX N
SHAKER  SH EY K AXR
SHAKERS  SH EY K AXR Z
SHAKY  SH EY K IY
SHALL  SH AE L
SHALLOWNESS  SH AE L OW N IX S
SHAME  SH EY M
SHAMPOO  SH AE M P UW
SHAMPOOED  SH AE M P UW D
SHAPE  SH EY P
SHAPED  SH EY P T
SHAPES  SH EY P S
SHARE  SH AE R
SHARKS  SH AA R K S
SHARP  SH AA R P
SHATTERED  SH AE T AXR D
SHAVING  SH EY V IX NG
SHAWLS  SH AO L Z
SHAWN  SH AO N
SHE  SH IY
SHE'D  SH IY D
SHE'S  SH IY Z
SHED  SH EH D
SHEETS  SH IY T S
SHEIK  SH IY K
SHEILA  SH IY L AX
SHELL  SH EH L
SHELLFISH  SH EH L F IH SH
SHELTER  SH EH L T AXR
SHELTERED  SH EH L T AXR D
SHELTERS  SH EH L T AXR Z
SHELVES  SH EH L V Z
SHERBET  SH ER B IX T
SHERIFF  SH EH R IX F
SHERIFF'S  SH EH R IX F S
SHIELDING  SH IY L D IX NG
SHIMMERED  SH IH M AXR D
SHIMMERING  SH IH M AXR IX NG
SHIMMERS  SH IH M AXR Z
SHIP  SH IH P
SHIP'S  SH IH P S
SHIPBUILDING  SH IH P B IH L D IX NG
SHIPMATE  SH IH P M EY T
SHIPS  SH IH P S
SHIPSHAPE  SH IH P SH EY P
SHIRT  SH ER T
SHIRTSLEEVE  SH ER T S L IY V 
SHIVERING  SH IH V AXR IX NG
SHOCK  SH AA K
SHOCKED  SH AA K T
SHOCKING  SH AA K IX NG
SHOCKS  SH AA K S
SHOELACES  SH UW L EY S IX Z
SHOES  SH UW Z
SHONE  SH OW N
SHOOK  SH UH K
SHOOT  SH UW T
SHOP  SH AA P
SHOPKEEPERS  SH AA P K IY P AXR Z
SHORE  SH AO R
SHORT  SH AO R T
SHORTAGE  SH AO R T IX JH
SHORTEN  SH AO R T EN
SHORTLY  SH AO R T L IY
SHOT  SH AA T
SHOULD  SH UH D
SHOULDER  SH OW L D AXR
SHOUTED  SH AW T IX D
SHOVE  SH AH V
SHOVELS  SH AH V EL Z
SHOVING  SH AH V IX NG
SHOW  SH OW
SHOWED  SH OW D
SHOWERING  SH AW AXR IX NG
SHOWERS  SH AW AXR Z
SHOWING  SH OW IX NG
SHOWN  SH OW N
SHOWS  SH OW Z
SHRAPNEL  SH R AE P N EL
SHREDDED  SH R EH D IX D
SHREDDER  SH R EH D AXR
SHRIEKED  SH R IY K T
SHRIMP  SH R IH M P
SHRINKING  SH R IH NG K IX NG
SHRUBS  SH R AH B Z
SHRUGGED  SH R AH G D
SHRUGS  SH R AH G Z
SHUCKS  SH AH K S
SHUDDERING  SH AH D AXR IX NG
SHUFFLE  SH AH F EL
SHUT  SH AH T
SHUTTER  SH AH T AXR
SHY  SH AY
SIAMESE  S AY AX M IY Z
SICK  S IH K
SIDE  S AY D
SIDES  S AY D Z
SIDEWINDER  S AY D W AY N D AXR
SIGH  S AY
SIGHING  S AY IX NG
SIGHTSEERS  S AY T S IY AXR Z
SIGN  S AY N
SIGNALS  S IH G N EL Z
SIGNED  S AY N D
SIGNIFICANT  S IH G N IH F IX K AX N T
SIGNS  S AY N Z
SILENCE  S AY L AX N S
SILENT  S AY L AX N T
SILHOUETTE  S IH L OW EH T
SILKY  S IH L K IY
SILLY  S IH L IY
SILVER  S IH L V AXR
SILVERWARE  S IH L V AXR W AE R
SIMMER  S IH M AXR
SIMPLE  S IH M P EL
SIMPLER  S IH M P L AXR
SIMPLEST  S IH M P L AX S T
SIMPLY  S IH M P L IY
SIN  S IH N
SINCE  S IH N S
SINCERE  S IX N S IH R
SINCERITY  S IX N S EH R IX T IY 
SINEWY  S IH N Y UW IY
SING  S IH NG
SINGER'S  S IH NG G AXR Z
SINGLE  S IH NG G EL
SINGLE-HANDED  S IH NG G EL HH AE N D IX D
SINGULAR  S IH NG G Y UH L AXR
SINUOUS  S IH N Y UW IX S
SINUS  S AY N IX S
SIR  S ER
SIT  S IH T
SITE  S AY T
SITTING  S IH T IX NG
SITUATED  S IH CH UW EY T IX D
SITUATION  S IH CH UW EY SH IX N
SITUATIONS  S IH CH UW EY SH IX N Z
SIX  S IH K S
SIXTY  S IH K S T IY
SIXTY-FIVE  S IH K S T IY F AY V
SIZE  S AY Z
SIZED  S AY Z D
SIZZLED  S IH Z EL D
SKATING  S K EY T IX NG
SKETCHED  S K EH CH T
SKEWERS  S K Y UW AXR Z
SKI  S K IY
SKIFFS  S K IH F S
SKIING  S K IY IX NG
SKILL  S K IH L
SKILLED  S K IH L D
SKILLS  S K IH L Z
SKIN  S K IH N
SKINLESS  S K IH N L AX S
SKIRMISH  S K ER M IH SH
SKIRT  S K ER T
SKIRTS  S K ER T S
SKY  S K AY
SKYWAVE  S K AY W EY V
SLAMMED  S L AE M D
SLANTED  S L AE N T IX D
SLAPPED  S L AE P T
SLASH  S L AE SH
SLATE  S L EY T
SLAVERY  S L EY V AXR IY
SLEEP  S L IY P
SLEEPILY  S L IY P AX L IY
SLEEPING  S L IY P IX NG
SLEEPY  S L IY P IY
SLEIGH  S L EY
SLEPT  S L EH P T
SLID  S L IH D
SLIGHTLY  S L AY T L IY
SLIP  S L IH P
SLIPPED  S L IH P T
SLIPPING  S L IH P IX NG
SLIPS  S L IH P S
SLOPE  S L OW P
SLOPES  S L OW P S
SLOPPY  S L AA P IY
SLOVENLINESS  S L AA V EN L IY N IX S
SLOW  S L OW
SLOWED  S L OW D
SLOWLY  S L OW L IY
SLUDGE  S L AH JH
SLUG  S L AH G
SLUGGING  S L AH G IX NG
SLUICING  S L UW S IX NG
SLUMS  S L AH M Z
SLYLY  S L AY L IY
SLYNESS  S L AY N IX S
SMALL  S M AO L
SMASH  S M AE SH
SMASHED  S M AE SH T
SMELL  S M EH L
SMELLED  S M EH L D
SMILE  S M AY L
SMILED  S M AY L D
SMILES  S M AY L Z
SMILING  S M AY L IX NG
SMITHS  S M IH TH S
SMOKE  S M OW K
SMOLDERINGLY  S M OW L D AXR IX NG L IY
SMOOTH  S M UW DH
SMOOTHED  S M UW DH D
SMOTHERED  S M AH DH AXR D
SNAKE  S N EY K
SNAKE-RAIL  S N EY K R EY L
SNAKES  S N EY K S
SNAPPER  S N AE P AXR
SNAPPING  S N AE P IX NG
SNARLED  S N AA R L D
SNATCHED  S N AE CH T
SNEEZED  S N IY Z D
SNIPS  S N IH P S
SNOW  S N OW
SNOWED  S N OW D
SO  S OW
SO-CALLED  S OW K AO L D
SOAK  S OW K
SOAKED  S OW K T
SOBER  S OW B AXR
SOCIAL  S OW SH EL
SOCIALIZED  S OW SH AX L AY Z D
SOCIETY  S IX S AY AX T IY
SOCKS  S AA K S
SOFT  S AO F T
SOFTLY  S AO F T L IY
SOIL  S OY L
SOILS  S OY L Z
SOLAR  S OW L AXR
SOLD  S OW L D
SOLDIERING  S OW L JH AXR IX NG
SOLDIERS  S OW L JH AXR Z
SOLICITS  S AX L IH S IX T S
SOLID  S AA L IX D
SOLID-STATE  S AA L IX D S T EY T
SOLIDARITY  S AA L AX D AE R AX T IY
SOLITARY  S AA L IX T EH R IY
SOLITUDE  S AA L IX T UW D
SOLUTION  S AX L UW SH IX N
SOLVE  S AO L V
SOLVED  S AO L V D
SOLVES  S AO L V Z
SOME  S AH M
SOMEBODY  S AH M B AA D IY
SOMEBODY'LL  S AH M B AA D IY EL
SOMEHOW  S AH M HH AW
SOMEONE  S AH M W AH N
SOMEPLACE  S AH M P L EY S
SOMETHING  S AH M TH IH NG
SOMETIME  S AH M T AY M
SOMETIMES  S AH M T AY M Z
SOMEWHAT  S AH M HH W AA T
SOMEWHERE  S AH M HH W AE R
SON  S AH N
SONG  S AO NG
SONGS  S AO NG Z
SONIC  S AA N IH K
SOON  S UW N
SOOTHE  S UW DH
SOOTHED  S UW DH D
SOOTHINGLY  S UW DH IX NG L IY
SOPHISTICATED  S AX F IH S T IX K EY T IX D
SOPHISTICATION  S AX F IH S T IX K EY SH IX N
SORCERY  S AO R S AXR IY
SORDID  S AO R D IX D
SORROW  S AA R OW
SORRY  S AA R IY
SORT  S AO R T
SOUGHT  S AO T
SOUL  S OW L
SOULS  S OW L Z
SOUND  S AW N D
SOUNDED  S AW N D IX D
SOUP  S UW P
SOUR  S AW AXR
SOURCE  S AO R S
SOURCES  S AO R S IX Z
SOUTH  S AW TH
SOUTHWEST  S AW TH W EH S T
SOYBEAN  S OY B IY N
SOYBEANS  S OY B IY N Z
SOYSAUCE  S OY S AO S
SPACE  S P EY S
SPACED  S P EY S T
SPADE  S P EY D
SPADES  S P EY D Z
SPANISH  S P AE N IH SH
SPATIAL  S P EY SH EL
SPEAK  S P IY K
SPEAKER  S P IY K AXR
SPECIAL  S P EH SH EL
SPECIALTY  S P EH SH EL T IY
SPECIES  S P IY SH IY Z
SPECIFIC  S P AX S IH F IH K
SPECTACULAR  S P EH K T AE K Y UH L AXR
SPECTATOR  S P EH K T EY T AXR
